RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Henrik Stenson,60,75.19,591,786
2,2,Ryan Armour,109,73.58,"1,103","1,499"
3,3,Chez Reavie,93,72.24,869,"1,203"
4,5,Ryan Moore,78,71.94,787,"1,094"
5,6,Brian Stuard,103,71.44,968,"1,355"
6,7,Brian Gay,103,71.37,"1,007","1,411"
7,4,Kyle Stanley,93,71.29,884,"1,240"
8,8,Emiliano Grillo,94,70.16,905,"1,290"
9,9,Russell Henley,77,70.03,729,"1,041"
10,10,Jim Furyk,50,69.91,467,668
11,11,Steve Wheatcroft,60,69.79,566,811
12,12,Kevin Streelman,94,69.11,888,"1,285"
13,13,C.T. Pan,104,68.98,945,"1,370"
14,14,David Lingmerth,82,68.93,750,"1,088"
15,15,Keegan Bradley,98,67.90,884,"1,302"
16,16,Rafa Cabrera Bello,75,67.85,667,983
17,17,Billy Horschel,86,67.80,779,"1,149"
18,17,Russell Knox,94,67.70,851,"1,257"
19,19,Ben Crane,65,67.52,557,825
20,20,Vaughn Taylor,83,67.51,746,"1,105"
21,21,Brian Harman,94,67.14,850,"1,266"
22,22,Sam Ryder,82,66.91,746,"1,115"
23,23,"Ted Potter, Jr.",87,66.83,812,"1,215"
24,24,Austin Cook,107,66.76,"1,002","1,501"
25,25,Tyler Duncan,97,66.74,867,"1,299"
26,26,David Hearn,66,66.63,559,839
27,28,Alex Cejka,77,66.49,639,961
28,29,Ian Poulter,73,66.41,595,896
29,30,Joel Dahmen,93,66.36,789,"1,189"
30,31,Kevin Kisner,89,66.33,729,"1,099"
31,32,J.J. Henry,81,66.22,692,"1,045"
32,33,J.J. Spaun,85,66.18,732,"1,106"
33,27,Justin Rose,70,66.02,610,924
34,34,Kelly Kraft,94,65.84,846,"1,285"
35,35,Conrad Shindler,60,65.77,515,783
36,36,Scott Piercy,84,65.68,735,"1,119"
37,37,Adam Hadwin,92,65.60,820,"1,250"
38,39,Ben Silverman,90,65.56,769,"1,173"
39,40,Satoshi Kodaira,51,65.53,443,676
40,41,Rickie Fowler,74,65.33,682,"1,044"
40,42,Xinjun Zhang,81,65.33,684,"1,047"
42,44,Kiradech Aphibarnrat,51,65.12,422,648
43,45,Pat Perez,82,65.09,688,"1,057"
44,46,Lucas Glover,65,65.06,553,850
44,46,Richy Werenski,98,65.06,836,"1,285"
46,48,Hunter Mahan,67,65.04,573,881
46,43,Francesco Molinari,73,65.04,640,984
48,49,Fabián Gómez,88,64.99,761,"1,171"
49,37,Tommy Fleetwood,73,64.98,603,928
50,50,Graeme McDowell,67,64.92,533,821
51,51,Louis Oosthuizen,62,64.81,490,756
52,53,Chad Campbell,87,64.70,713,"1,102"
53,54,Blayne Barber,69,64.67,604,934
54,55,Michael Thompson,62,64.66,525,812
55,56,Chris Kirk,108,64.64,956,"1,479"
56,57,Daniel Berger,81,64.58,691,"1,070"
57,58,Hudson Swafford,73,64.57,607,940
58,59,Bronson Burgoon,69,64.53,624,967
59,60,Brice Garnett,99,64.45,854,"1,325"
60,61,Ryan Blaum,81,64.31,699,"1,087"
61,62,Johnson Wagner,75,64.25,620,965
62,52,Kevin Na,91,64.13,774,"1,207"
63,63,Zach Johnson,94,63.88,778,"1,218"
64,64,John Huh,94,63.83,803,"1,258"
65,65,James Hahn,85,63.73,731,"1,147"
66,71,Gary Woodland,96,63.69,812,"1,275"
66,66,Rod Pampling,62,63.69,514,807
68,67,Cameron Percy,56,63.66,445,699
69,68,Abraham Ancer,98,63.64,854,"1,342"
70,70,Ben Martin,64,63.52,566,891
71,71,Branden Grace,67,63.49,567,893
72,73,Denny McCarthy,71,63.45,559,881
73,69,Aaron Wise,90,63.33,777,"1,227"
74,75,Jason Dufner,71,63.30,571,902
75,76,Matt Kuchar,88,63.27,708,"1,119"
76,77,Martin Laird,73,63.22,574,908
77,78,Roberto Díaz,72,63.20,601,951
78,74,Paul Casey,74,63.14,627,993
79,79,Kyle Thompson,50,62.99,405,643
79,79,Corey Conners,97,62.99,817,"1,297"
81,81,Troy Merritt,89,62.93,747,"1,187"
82,82,Andrew Landry,82,62.92,706,"1,122"
83,85,Hideki Matsuyama,75,62.82,637,"1,014"
84,83,Brandt Snedeker,84,62.79,719,"1,145"
85,84,Zac Blair,64,62.76,509,811
86,88,Danny Lee,88,62.65,753,"1,202"
87,89,Charles Howell III,104,62.59,875,"1,398"
88,90,Adam Scott,78,62.51,682,"1,091"
89,91,Tom Hoge,101,62.43,811,"1,299"
90,87,Webb Simpson,95,62.34,803,"1,288"
91,92,Chris Stroud,81,62.24,638,"1,025"
92,86,Bryson DeChambeau,93,62.23,814,"1,308"
93,93,Jonathan Randolph,71,62.18,564,907
94,95,Rory Sabbatini,91,62.05,770,"1,241"
95,96,Scott Brown,102,62.03,848,"1,367"
96,97,Tyrrell Hatton,58,61.84,470,760
97,98,Alex Noren,67,61.73,521,844
98,93,Patrick Cantlay,87,61.58,694,"1,127"
99,99,Jordan Spieth,81,61.55,658,"1,069"
100,100,J.T. Poston,73,61.53,611,993
101,101,Kevin Chappell,77,61.27,639,"1,043"
102,102,Shane Lowry,64,61.20,478,781
103,103,Patrick Rodgers,97,61.14,793,"1,297"
104,104,Whee Kim,93,61.11,759,"1,242"
105,105,Nick Taylor,94,60.94,766,"1,257"
106,106,Bud Cauley,55,60.81,450,740
107,107,Si Woo Kim,108,60.68,886,"1,460"
108,108,Nate Lashley,51,60.58,398,657
109,109,Brendan Steele,74,60.47,572,946
109,109,D.A. Points,63,60.47,517,855
109,109,Beau Hossler,104,60.47,881,"1,457"
112,113,Nicholas Lindheim,77,60.44,582,963
113,114,Andrew Putnam,97,60.42,751,"1,243"
114,116,Jonas Blixt,67,60.30,518,859
115,117,Ethan Tracy,72,60.25,573,951
116,118,Byeong Hun An,86,60.19,709,"1,178"
117,115,Marc Leishman,93,60.17,763,"1,268"
118,119,Sam Saunders,80,60.14,620,"1,031"
119,120,Anirban Lahiri,82,60.09,691,"1,150"
119,120,Sean O'Hair,67,60.09,527,877
