RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,J.B. Holmes,57,318.4,"33,751",106
2,2,Bubba Watson,85,314.9,"49,747",158
3,3,Dustin Johnson,72,314.2,"44,616",142
4,4,Robert Garrigus,83,313.4,"52,026",166
5,5,Gary Woodland,93,310.5,"57,745",186
6,6,Steven Bowditch,86,308.3,"50,569",164
7,7,Scott Piercy,78,305.4,"45,204",148
8,9,Jhonattan Vegas,84,304.9,"48,778",160
9,10,Kyle Stanley,98,304.6,"54,825",180
10,,Will Strickler,51,304.1,"28,584",94
11,11,Scott Stallings,84,303.7,"47,374",156
12,12,Tag Ridings,87,303.3,"49,131",162
13,13,Martin Laird,77,303.0,"46,051",152
14,14,Jason Day,76,302.6,"44,179",146
15,16,Josh Teater,104,302.3,"59,244",196
16,17,Nick Watney,80,301.9,"46,500",154
17,18,Harrison Frazar,58,301.8,"35,006",116
18,15,Jim Herman,69,301.7,"36,806",122
19,19,Ángel Cabrera,50,301.6,"27,747",92
20,20,Keegan Bradley,91,300.7,"52,319",174
21,21,Troy Matteson,91,300.2,"52,230",174
22,23,Phil Mickelson,79,299.8,"46,162",154
22,23,Charley Hoffman,93,299.8,"55,162",184
24,25,Adam Scott,60,299.7,"35,367",118
25,22,Ryan Palmer,82,299.5,"47,915",160
25,26,Rickie Fowler,84,299.5,"48,520",162
25,27,Zack Miller,86,299.5,"49,116",164
28,29,Robert Karlsson,61,299.2,"35,309",118
28,29,Sergio Garcia,61,299.2,"36,507",122
30,33,Jimmy Walker,79,298.8,"47,213",158
31,31,D.J. Trahan,91,298.6,"54,349",182
31,33,Alex Prugh,82,298.6,"46,581",156
33,27,James Driscoll,71,298.5,"38,802",130
33,32,Davis Love III,70,298.5,"41,783",140
33,33,Brandt Jobe,100,298.5,"57,311",192
36,36,Scott Gutschewski,67,298.0,"35,169",118
37,36,Derek Lamely,65,297.9,"37,538",126
38,38,Bobby Gates,82,297.4,"44,013",148
38,42,Bo Van Pelt,92,297.4,"53,533",180
40,41,Charles Howell III,108,297.3,"61,846",208
41,39,John Merrick,71,297.2,"37,450",126
41,46,Michael Putnam,67,297.2,"37,445",126
43,47,Charl Schwartzel,58,297.0,"33,269",112
44,47,Chris Couch,73,296.8,"43,334",146
44,39,Jim Renner,65,296.8,"33,836",114
46,49,Tommy Gainey,104,296.7,"59,331",200
46,44,John Rollins,85,296.7,"49,251",166
48,44,Boo Weekley,66,296.6,"36,775",124
48,53,Bill Haas,93,296.6,"54,570",184
50,52,David Duval,67,296.3,"39,698",134
51,56,Aaron Baddeley,77,296.2,"44,430",150
51,49,Webb Simpson,98,296.2,"58,064",196
53,54,Bio Kim,71,296.1,"38,497",130
54,58,Marc Leishman,87,296.0,"51,496",174
55,59,Kevin Chappell,78,295.8,"42,597",144
56,61,Chris Kirk,87,295.7,"51,446",174
57,55,Joseph Bramlett,73,295.6,"38,434",130
58,60,Jeff Overton,92,295.3,"53,750",182
59,62,Steve Marino,76,295.2,"44,873",152
60,56,George McNeill,69,295.0,"35,991",122
61,65,Andres Romero,77,294.7,"44,200",150
61,65,Padraig Harrington,60,294.7,"34,778",118
63,67,Lucas Glover,74,294.6,"43,595",148
63,67,Sean O'Hair,71,294.6,"41,241",140
65,69,Camilo Villegas,69,294.4,"40,041",136
66,64,Cameron Tringale,110,294.3,"62,400",212
66,70,Vijay Singh,79,294.3,"46,492",158
68,63,Sung Kang,63,294.2,"34,712",118
68,72,Anthony Kim,72,294.2,"41,774",142
70,70,Matt Jones,71,293.9,"41,730",142
71,76,Chez Reavie,92,293.5,"53,998",184
72,77,Ricky Barnes,78,293.3,"45,750",156
72,74,John Senden,94,293.3,"55,144",188
74,74,Kevin Stadler,88,293.2,"46,910",160
75,77,Roland Thatcher,67,293.1,"39,272",134
75,73,Andres Gonzales,60,293.1,"30,486",104
77,79,Brendan Steele,89,292.8,"50,943",174
78,82,Rory Sabbatini,85,292.5,"47,377",162
79,80,Martin Piller,63,292.2,"34,482",118
80,80,Blake Adams,116,292.1,"65,435",224
81,89,Carl Pettersson,95,291.8,"54,271",186
81,89,Stewart Cink,72,291.8,"38,521",132
81,85,Tim Herron,85,291.8,"47,269",162
84,83,Rod Pampling,72,291.6,"37,331",128
84,86,Scott McCarron,65,291.6,"35,574",122
84,92,Hunter Mahan,92,291.6,"51,896",178
84,92,Jonathan Byrd,83,291.6,"47,827",164
84,86,Joe Ogilvie,75,291.6,"39,076",134
89,88,Bill Lunde,92,291.5,"51,298",176
90,97,Pat Perez,76,291.4,"44,289",152
91,92,Chris Stroud,88,291.2,"48,916",168
92,95,J.J. Henry,96,291.1,"53,561",184
92,99,Chad Campbell,99,291.1,"56,476",194
94,89,Billy Horschel,75,291.0,"40,162",138
94,98,Michael Thompson,79,291.0,"42,486",146
96,84,Alexandre Rocha,65,290.9,"33,157",114
96,95,David Hearn,88,290.9,"46,551",160
98,101,Michael Bradley,74,290.7,"40,703",140
99,100,Justin Rose,79,290.6,"44,759",154
100,104,Y.E. Yang,63,290.2,"34,239",118
100,102,D.J. Brigman,67,290.2,"34,244",118
100,104,Robert Allenby,84,290.2,"48,165",166
103,107,Tom Gillis,55,290.1,"31,914",110
103,107,Lee Janzen,62,290.1,"32,495",112
103,107,Ryan Moore,79,290.1,"43,510",150
106,110,Geoff Ogilvy,69,290.0,"38,286",132
107,,Retief Goosen,50,289.9,"28,415",98
107,103,William McGirt,103,289.9,"57,398",198
109,104,Ben Martin,74,289.5,"40,528",140
109,112,Graeme McDowell,50,289.5,"27,213",94
111,113,Kevin Streelman,90,289.2,"52,050",180
112,111,Briny Baird,60,289.1,"31,223",108
113,114,Steve Stricker,70,288.8,"39,859",138
114,114,Trevor Immelman,84,288.5,"48,465",168
114,116,Hunter Haas,96,288.5,"53,082",184
116,117,Fabián Gómez,84,288.4,"43,832",152
117,118,Matt Bettencourt,84,288.3,"48,437",168
118,119,Ernie Els,71,288.1,"39,753",138
119,121,Brendon de Jonge,105,287.8,"58,132",202
120,119,Woody Austin,59,287.6,"30,487",106
121,123,Stuart Appleby,65,287.5,"37,374",130
122,124,Freddie Jacobson,92,287.4,"48,282",168
122,121,D.A. Points,89,287.4,"51,162",178
124,126,Brandt Snedeker,85,287.2,"48,816",170
125,125,Troy Merritt,63,286.8,"34,986",122
125,128,Jason Dufner,78,286.8,"44,745",156
127,129,Spencer Levin,113,286.3,"62,416",218
128,135,Matt Kuchar,94,286.2,"50,366",176
129,126,Rich Beem,53,286.1,"30,325",106
129,132,Jarrod Lyle,83,286.1,"45,201",158
129,130,Shaun Micheel,77,286.1,"41,773",146
132,130,Justin Hicks,60,286.0,"29,742",104
133,132,Charlie Wi,83,285.8,"47,443",166
134,138,K.J. Choi,77,285.6,"42,834",150
135,136,Steve Elkington,50,285.4,"28,543",100
135,136,Matt McQuillan,59,285.4,"31,399",110
137,138,Kent Jones,76,285.0,"40,474",142
137,140,Nathan Green,81,285.0,"43,891",154
139,134,Jason Bohn,74,284.9,"39,879",140
139,145,Ben Crane,76,284.9,"41,599",146
139,141,Daniel Summerhays,75,284.9,"41,596",146
139,142,Kris Blanks,92,284.9,"51,276",180
143,143,Arjun Atwal,91,284.8,"51,842",182
143,146,Mark Wilson,89,284.8,"49,548",174
145,151,Cameron Beckman,71,284.3,"38,102",134
145,144,Kevin Kisner,70,284.3,"36,394",128
147,148,Vaughn Taylor,89,284.1,"50,571",178
147,148,Luke Donald,73,284.1,"38,064",134
149,147,Paul Stankowski,78,283.9,"40,875",144
150,152,Stephen Ames,69,283.8,"36,890",130
151,153,Joe Durant,71,283.6,"39,143",138
152,154,Ryuji Imada,83,283.4,"47,048",166
153,156,Brian Davis,105,283.3,"59,483",210
153,155,Billy Mayfair,94,283.3,"50,999",180
155,159,Ian Poulter,52,282.8,"28,850",102
155,157,Marc Turnesa,54,282.8,"29,406",104
157,148,J.P. Hayes,56,282.7,"30,529",108
158,158,Aron Price,58,282.6,"29,388",104
159,159,Steve Flesch,88,282.5,"47,462",168
