RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,John Senden,100,70.89,"1,276","1,800",-0.26
2,7,Jonathan Byrd,89,70.59,"1,080","1,530",-0.29
3,2,Joe Durant,62,70.58,686,972,-0.24
4,3,Robert Garrigus,83,70.53,"1,003","1,422",-0.26
5,5,Jay Williamson,69,70.49,774,"1,098",-0.19
6,4,Greg Owen,97,70.41,"1,128","1,602",-0.24
7,6,D.J. Trahan,96,70.37,"1,216","1,728",-0.26
8,8,Jason Bohn,88,69.63,"1,103","1,584",-0.26
9,9,Chad Campbell,90,69.19,"1,071","1,548",-0.25
10,10,Briny Baird,89,68.95,"1,055","1,530",-0.24
10,28,Tom Lehman,55,68.95,633,918,-0.17
12,11,Chris Stroud,88,68.72,"1,039","1,512",-0.27
13,12,Scott Sterling,51,68.60,531,774,-0.22
14,13,Charles Warren,63,68.52,703,"1,026",-0.25
15,23,Patrick Sheehan,51,68.48,530,774,-0.23
16,14,Tiger Woods,64,68.46,764,"1,116",-0.32
17,18,Rich Beem,77,68.44,850,"1,242",-0.24
18,15,Troy Matteson,95,68.38,"1,120","1,638",-0.25
19,16,Hunter Mahan,94,68.36,"1,132","1,656",-0.28
20,21,David Toms,98,68.32,"1,156","1,692",-0.27
21,17,Steve Marino,98,68.26,"1,155","1,692",-0.27
22,25,Jeff Maggert,79,68.21,970,"1,422",-0.21
23,33,Ricky Barnes,67,68.17,724,"1,062",-0.20
24,19,J.J. Henry,97,68.10,"1,140","1,674",-0.23
24,19,Robert Allenby,71,68.10,858,"1,260",-0.20
26,50,Will MacKenzie,69,67.87,843,"1,242",-0.22
27,21,Sean O'Hair,80,67.84,928,"1,368",-0.27
28,32,Zach Johnson,94,67.81,"1,123","1,656",-0.28
29,24,Kirk Triplett,60,67.78,732,"1,080",-0.21
30,30,Stephen Ames,77,67.70,914,"1,350",-0.30
31,26,Casey Wittenberg,71,67.64,767,"1,134",-0.22
32,29,Heath Slocum,95,67.58,"1,107","1,638",-0.24
33,27,Steve Elkington,70,67.46,850,"1,260",-0.25
34,59,Bill Haas,91,67.37,"1,055","1,566",-0.27
34,40,Spencer Levin,75,67.37,861,"1,278",-0.23
36,31,Kenny Perry,92,67.34,"1,103","1,638",-0.26
37,34,Michael Allen,73,67.23,835,"1,242",-0.26
38,34,Matt Jones,56,67.22,605,900,-0.27
39,36,Marc Leishman,91,67.18,"1,052","1,566",-0.27
40,37,Bryce Molder,69,67.12,737,"1,098",-0.26
41,52,Charles Howell III,99,67.09,"1,099","1,638",-0.25
42,38,Fred Couples,54,67.08,652,972,-0.28
42,45,Nicholas Thompson,96,67.08,"1,135","1,692",-0.25
44,49,Tommy Armour III,58,67.05,700,"1,044",-0.25
45,63,Justin Leonard,95,67.03,"1,098","1,638",-0.29
46,39,Bill Lunde,83,67.01,977,"1,458",-0.24
47,40,Scott Verplank,88,67.00,"1,013","1,512",-0.28
48,43,Tim Clark,81,66.95,940,"1,404",-0.29
49,44,Jason Dufner,90,66.93,"1,036","1,548",-0.26
50,42,Davis Love III,89,66.92,"1,048","1,566",-0.25
51,46,Kevin Stadler,65,66.86,686,"1,026",-0.25
52,47,Boo Weekley,79,66.81,926,"1,386",-0.23
